timestamp,protocol,source_ip,destination_ip,source_port,destination_port,isTor,isVPN,isNormal
2026-06-18 06:19:52.493704,TCP,17.253.85.139,192.168.1.9,443,58157,0.950208,0.022616,0.027176
2026-06-18 06:19:58.267788,TCP,17.253.85.139,192.168.1.9,443,58159,0.852834,0.053193,0.093973
2026-06-18 06:20:01.003597,TCP,17.253.85.139,192.168.1.9,443,58160,0.943191,0.025059,0.031750
2026-06-18 06:19:59.742293,TCP,17.253.85.139,192.168.1.9,443,58163,0.872396,0.055495,0.072108
2026-06-18 06:19:57.353899,TCP,17.253.85.139,192.168.1.9,443,58168,0.862061,0.043343,0.094596
2026-06-18 06:19:59.080084,TCP,17.253.85.139,192.168.1.9,443,58169,0.884434,0.056707,0.058858
2026-06-18 06:19:59.971143,TCP,17.253.85.139,192.168.1.9,443,58191,0.697513,0.108326,0.194161
2026-06-18 06:19:58.741931,TCP,17.253.85.139,192.168.1.9,443,58195,0.889164,0.060741,0.050095
2026-06-18 06:20:04.575298,TCP,17.253.85.139,192.168.1.9,443,58203,0.922748,0.031695,0.045557
2026-06-18 06:20:03.276016,TCP,17.253.85.139,192.168.1.9,443,58204,0.938068,0.027370,0.034563
2026-06-18 06:20:08.132438,TCP,17.253.85.141,192.168.1.9,443,58233,0.897528,0.069547,0.032926
2026-06-18 06:23:21.323587,TCP,17.32.214.124,192.168.1.9,443,58258,0.977330,0.014676,0.007993
2026-06-18 06:23:22.107047,TCP,17.32.214.124,192.168.1.9,443,58259,0.868083,0.073156,0.058762
2026-06-18 06:23:22.107604,TCP,17.32.214.124,192.168.1.9,443,58260,0.925744,0.041662,0.032594
2026-06-18 06:23:22.108332,TCP,17.32.214.124,192.168.1.9,443,58261,0.915138,0.041622,0.043239
2026-06-18 06:23:22.109563,TCP,17.32.214.124,192.168.1.9,443,58262,0.950930,0.011760,0.037310
2026-06-18 06:23:22.111477,TCP,17.32.214.124,192.168.1.9,443,58263,0.917626,0.040333,0.042041
2026-06-18 06:20:09.087764,TCP,185.86.67.240,192.168.1.9,443,58234,0.873478,0.079899,0.046623
2026-06-18 06:20:10.242488,TCP,185.86.67.240,192.168.1.9,443,58235,0.917128,0.038068,0.044804
2026-06-18 06:20:11.882292,TCP,185.86.67.240,192.168.1.9,443,58237,0.925248,0.047452,0.027300
2026-06-18 06:23:17.846329,TCP,185.86.67.240,192.168.1.9,443,58257,0.889126,0.056821,0.054052
2026-06-18 06:22:17.922553,TCP,192.168.1.5,192.168.1.9,50762,7000,0.868809,0.096821,0.034370
2026-06-18 06:27:21.540806,TCP,192.168.1.5,192.168.1.9,50766,7000,0.909894,0.064173,0.025933
2026-06-18 06:28:50.691440,TCP,192.168.1.5,192.168.1.9,50768,7000,0.741361,0.161861,0.096777
2026-06-18 06:29:30.211860,TCP,192.168.1.5,192.168.1.9,50769,7000,0.727517,0.200738,0.071744
2026-06-18 06:29:38.204715,TCP,192.168.1.5,192.168.1.9,50770,7000,0.664945,0.176348,0.158707
2026-06-18 06:29:48.747223,TCP,192.168.1.5,192.168.1.9,50771,7000,0.911937,0.060257,0.027807
